store_code,store_name,city,state,region_name,open_date,close_date,square_feet
S00036, Store 36 ,ATLANTA,GA,South,17-Oct-2022,,6000.0
S00037,Store 37, Bolingbrook ,il, Midwest ,2019/05/20,,3000.0
S-38,store 38,Worcester,MA,Northeast,16-Feb-2023,,6000.0
00039,Store 39,Miami,FL,SOUTH,16-Feb-2019,,2200.0
S00040,store 40,Nashville,TN,South,17-Oct-2021,,1200.0
S-41,STORE 41,Spokane,WA,west,2023/06/12,,1200.0
 00042 ,Store 42,AUSTIN,TX,South,2022-01-03,,2200.0
 STORE-00043 , Store 43 ,DETROIT,MI,Midwest,2023-12-10,,4500.0
STORE-00044,store 44,Tucson,az,West Region,2018-01-25,,4500.0
00045,STORE 45,Newark,NJ,northeast,2022-04-04,,6000.0
 00046 , Store 46 , Cleveland ,oh,MIDWEST,05/29/2023,,2200.0
00047,store 47,San Jose,CA, West ,08/14/2018,,4500.0
S-48,store 48,charlotte, NC ,south region,2021/04/03,,1200.0
00049,Store 49,Allentown, PA ,Northeast,13-Jun-2016,,3000.0
store-00050,store 50,Augusta,ga, South ,2017-03-04,,2200.0
s-51, Store 51 ,LAS VEGAS,NV,West,05/17/2023,,1800.0
00052,STORE 52, Phoenix ,az,West,2016-04-28,,1200.0
store-00053,store 53,green bay,wi, Midwest ,04/10/2019,,2200.0
STORE-00054,Store 54,Eugene,OR,west,30-Dec-2018,,4500.0
00055,STORE 55,Tucson, AZ ,West,11-Feb-2018,,6000.0
STORE-00056,Store 56,milwaukee,wi,Midwest,01-Jun-2017,,1800.0
S00057,Store 57,Augusta,GA,South,08-Oct-2023,,1200.0
S00058,Store 58, Detroit , MI , Midwest ,2017/01/05,,2200.0
 00059 , Store 59 ,Seattle,WA,West,12/15/2021,,6000.0
 00060 ,Store 60,Dallas,TX,South,24-Mar-2019,,1800.0
STORE-00061,STORE 61,Los Angeles,CA,West,2020-04-11,,6000.0
00062,Store 62,Tampa,FL,South,2019-12-14,,3000.0
 S-63 , Store 63 ,miami,FL,South,04/23/2019,,3000.0
00064,STORE 64,Atlanta,GA,South,2021/04/02,,
STORE-00065,Store 65,Worcester, MA , Northeast ,2023/07/18,,1800.0
S00066,STORE 66,eugene, OR , West ,30-Jul-2020,,6000.0
S-67,Store 67,Henderson,NV,West,02/24/2024,,1800.0
S-68,Store 68,Allentown,PA,NORTHEAST,2023-03-26,,2200.0
00069,Store 69,MINNEAPOLIS,MN,Midwest,2016/10/08,,1800.0
 00070 ,Store 70,MIAMI,FL, South ,31-May-2023,,6000.0
00071, Store 71 ,Eugene,OR,west,2022-08-28,,3000.0
S00072,STORE 72, San Diego , CA ,West,2023/12/27,,4500.0
S00073,Store 73,Henderson,NV,west,10/28/2020,,3000.0
STORE-00074,Store 74,pittsburgh, PA ,northeast,2019/07/04,,4500.0
S-75,Store 75,Dallas,TX,South,12/19/2019,,3000.0
STORE-00076,Store 76,Allentown,PA,Northeast,2020-02-14,,6000.0
STORE-00077,STORE 77, Houston , TX , South ,2019-01-24,,4500.0
STORE-00078,Store 78, Tucson , AZ ,West,2017-10-06,,6000.0
S00079, Store 79 ,Tucson,AZ,WEST,06/01/2018,,4500.0
STORE-00080, Store 80 ,Detroit, MI ,Midwest,2017/07/16,,6000.0
S-81,store 81, Boston , MA ,Northeast,06-Jul-2019,,2200.0
S00082,STORE 82,JERSEY CITY,NJ,northeast,2022-08-09,,1800.0
 00083 ,STORE 83, Augusta , GA , South ,28-Mar-2023,,4500.0
STORE-00084,Store 84, Henderson , NV ,WEST,2023/02/15,,2200.0
 STORE-00085 ,Store 85,Raleigh,NC,south,2016-06-03,,4500.0
s00086,Store 86,Memphis,TN,South,2021-08-15,,3000.0
STORE-00087, Store 87 ,Grand Rapids,MI,Midwest,04-Mar-2019,,6000.0
STORE-00088,Store 88,Detroit, MI , Midwest ,14-Jul-2022,,2200.0
00089,STORE 89,Springfield, MA , Northeast ,2020/01/22,2022-01-13,4500.0
 00090 ,Store 90,Allentown,PA,northeast,20-Jun-2017,,6000.0
00091,Store 91,reno,NV,West,12-Jan-2021,,2200.0
 STORE-00092 ,store 92,SEATTLE,WA,west,2022-10-12,,1800.0
STORE-00093,store 93,MILWAUKEE,WI, Midwest ,06/28/2018,,1200.0
S-94, Store 94 ,Miami,fl, South Region ,2016/06/05,,1800.0
S00095,Store 95,San Diego, CA ,west,2018-08-31,,4500.0
00096, Store 96 ,Grand Rapids,mi,Midwest,2016-01-07,,3000.0
S00097,Store 97,Salem,OR,WEST,2016-03-07,,2200.0
 00098 ,Store 98,green bay,WI, Midwest Region ,2021-05-14,,2200.0
STORE-00099, Store 99 ,Portland,OR,west,03-Apr-2023,,3000.0
STORE-00100,Store 100, Green Bay ,WI,midwest,2021/07/30,,2200.0
S-101, Store 101 ,Durham,NC,SOUTH,2024-01-18,,6000.0
 S-102 , Store 102 ,Chicago,IL,Midwest,10/24/2022,,2200.0
STORE-00103,STORE 103, Hartford ,CT,NORTHEAST,2021-12-08,,2200.0
S-104, Store 104 , St. Paul , MN ,Midwest,2023/10/13,,6000.0
00105,store 105, Atlanta ,GA,South,2023-12-25,,4500.0
s-106,Store 106,Minneapolis, MN ,Midwest,26-Sep-2016,,4500.0
S00107,store 107,CLEVELAND, OH ,MIDWEST,2021/08/21,,2200.0
s00108, Store 108 ,Tampa, FL ,South,2019/05/25,,4500.0
STORE-00109,Store 109,new york,NY,Northeast,2023/03/12,,2200.0
00110,store 110,SALEM,OR,West,2016/10/25,,1800.0
S-111, Store 111 ,PHILADELPHIA,PA,NORTHEAST,03/25/2021,,4500.0
store-00112, Store 112 ,CLEVELAND,oh,Midwest,2021-10-09,,3000.0
 S-113 ,STORE 113,EUGENE,or, West Region ,02/03/2016,,2200.0
 S00114 , Store 114 ,RENO,NV,WEST,12/27/2022,,4500.0
s-115, Store 115 ,New York, NY ,NORTHEAST,15-Jul-2017,,6000.0
store-00116, Store 116 ,KNOXVILLE, TN ,SOUTH,2021-12-20,,2200.0
 S-117 ,Store 117, Bolingbrook ,IL, Midwest ,2021/05/21,,3000.0
S00118,store 118,Henderson,NV,WEST,04/15/2021,,4500.0
00119,STORE 119,Augusta,GA,South,06-Jun-2021,,2200.0
S-120,STORE 120,ATLANTA,GA, South ,2022-06-06,,3000.0
 STORE-00121 ,Store 121,Seattle,WA,west,01/15/2022,,3000.0
00122,Store 122,San Jose,ca,West,2017/07/17,2020/11/15,6000.0
S00123, Store 123 ,Hartford, CT ,Northeast,31-Dec-2021,,1800.0
S00124,STORE 124,houston,TX,South,05/07/2019,,3000.0
STORE-00125, Store 125 ,PHILADELPHIA,PA, Northeast ,13-Mar-2024,,4500.0
 00126 ,STORE 126,los angeles,CA,West,2017-07-29,,2200.0
STORE-00127,Store 127,Buffalo,NY,Northeast,10-Jun-2019,,6000.0
00128,Store 128,Durham,NC,south,2022/02/27,,4500.0
 S-129 ,STORE 129,Rochester, MN ,Midwest,05-Sep-2017,,3000.0
S00130,Store 130,New Haven,CT,NORTHEAST REGION,2023-07-18,,1200.0
00131,Store 131,Boston,ma,NORTHEAST,21-Mar-2019,,6000.0
s-132,Store 132,DETROIT, MI ,MIDWEST REGION,01-Jan-2018,,1800.0
 S00133 ,Store 133,Orlando,FL,SOUTH,2018-02-11,,1200.0
00134,Store 134,Paterson, NJ ,NORTHEAST,2016/06/30,,6000.0
S-135, Store 135 ,Detroit,MI,Midwest,28-May-2023,,1200.0
00136, Store 136 ,reno,NV,West,10/23/2023,,1200.0
STORE-00137,Store 137,Henderson,NV,West,07/03/2017,,3000.0
00138,Store 138,NEW YORK,NY,Northeast Region,2022-08-03,,3000.0
STORE-00139,store 139,MILWAUKEE,WI,midwest,2022-03-11,,6000.0
00140, Store 140 ,Orlando,FL,SOUTH,07/05/2019,,3000.0
STORE-00141,Store 141,Green Bay,WI, Midwest ,2023/05/05,,6000.0
S00142,Store 142,Rochester,mn,MIDWEST,08/28/2016,,4500.0
S-143, Store 143 ,stamford,ct,Northeast Region,2023/06/24,,6000.0
00144,STORE 144,CHICAGO,IL,Midwest Region,17-Nov-2021,,6000.0
 S-145 , Store 145 , New York ,ny,Northeast,2020-07-18,,1200.0
STORE-00146,Store 146, Portland ,OR,West,10/31/2016,,6000.0
S-147,store 147,PHILADELPHIA,PA,Northeast,2022-04-28,,2200.0
S-148,STORE 148,Seattle,WA,WEST,27-Oct-2019,,6000.0
 S00149 , Store 149 ,San Jose,CA,WEST,2019-04-24,,2200.0
S-150,store 150, Houston , TX ,South,2016/12/23,,1200.0
00151, Store 151 ,SAN JOSE, CA ,west,2022-04-10,,2200.0
S-152, Store 152 , San Diego ,CA,WEST,27-Oct-2018,,2200.0
00153, Store 153 ,LAS VEGAS,NV,West,05/15/2019,,2200.0
00154,Store 154,Portland,or,west,2022/04/28,,1200.0
STORE-00155,Store 155,Phoenix, AZ ,west,07-Feb-2023,,6000.0
 S00156 ,STORE 156,Allentown, PA ,Northeast,08-Jan-2022,,2200.0
00157,STORE 157,Los Angeles,CA,WEST,2017-02-07,,2200.0
store-00158,STORE 158,rochester,ny,Northeast,2017/08/03,,1200.0
00159,Store 159,buffalo,NY,northeast,08-Apr-2023,,3000.0
00160,store 160, Madison ,WI,Midwest,2016-04-29,,4500.0
s-161,Store 161,Orlando,FL,SOUTH,11-Apr-2017,,6000.0
 STORE-00162 ,STORE 162, Knoxville ,TN,south,12/13/2016,,3000.0
00163,store 163, Minneapolis ,MN, Midwest Region ,28-Jun-2021,,4500.0
 S-164 ,Store 164,Tucson,AZ,WEST REGION,2023/12/18,,3000.0
STORE-00165,Store 165,HENDERSON,NV,West Region,04/08/2017,,1200.0
s00166,Store 166,Detroit,MI,Midwest,2021/01/16,,4500.0
S00167,store 167,Minneapolis, MN ,MIDWEST,2018/04/26,,4500.0
00168, Store 168 , Jersey City ,NJ,Northeast,30-Aug-2016,,4500.0
s00169,Store 169,Tucson,AZ,west,2016-11-05,,6000.0
S-170,store 170,PORTLAND,OR, West ,29-Dec-2021,,6000.0
s-171,Store 171,rochester,NY,Northeast,2021/02/25,04/14/2022,2200.0
 00172 ,Store 172,Atlanta,GA, South ,2020-03-03,,3000.0
S00173,store 173, Rochester , MN ,Midwest,2020-12-27,2023-02-28,2200.0
 00174 ,Store 174,Orlando, FL ,SOUTH,06/29/2017,,4500.0
S-175,store 175,Chicago,IL,MIDWEST,2017/07/27,,6000.0
S-176, Store 176 ,Tampa,FL, South ,21-Oct-2022,,1200.0
S-177,Store 177,Pittsburgh,PA, Northeast ,2017-06-24,,1800.0
s-178,store 178,Springfield,ma, Northeast ,2019-03-19,,1800.0
S00179,store 179,St. Paul,MN,Midwest,2020-05-19,,4500.0
 S00180 ,Store 180,chicago,IL, Midwest ,12/09/2023,,2200.0
S00181,Store 181,Buffalo,ny, Northeast ,10/24/2020,,2200.0
 00182 ,STORE 182,Paterson, NJ , Northeast ,15-Sep-2021,01/08/2022,2200.0
 S00183 ,Store 183,Atlanta,GA,south region,2022/05/30,,2200.0
STORE-00184,STORE 184,SAN DIEGO,CA,West,04/01/2018,,3000.0
S-185,Store 185, Dallas ,tx,south,2016-01-06,,1800.0
store-00186,Store 186,New York,ny,NORTHEAST,2021-10-29,,1800.0
STORE-00187,STORE 187, Savannah ,GA,South,11/10/2023,,3000.0
00188,store 188,San Jose, CA ,WEST,2020-01-07,,2200.0
STORE-00189,Store 189, Grand Rapids ,mi,Midwest,10/04/2021,,1200.0
 00190 ,Store 190,CHICAGO,IL,Midwest,2016/09/09,,1200.0
S00191,Store 191,PATERSON, NJ , Northeast ,21-Dec-2020,,3000.0
00192,store 192, Phoenix ,AZ,West,20-Dec-2019,,4500.0
00193,Store 193,Pittsburgh,PA,NORTHEAST,16-Jul-2017,,4500.0
 00194 ,Store 194,PORTLAND,OR,WEST,04/16/2016,,1200.0
00195,Store 195,ANN ARBOR,MI, Midwest ,08/17/2016,,6000.0
00196,Store 196,Allentown,pa, Northeast ,2022-04-27,,
00197, Store 197 ,San Diego,CA, West Region ,11/20/2022,,4500.0
S00198,STORE 198,Allentown,PA,Northeast,05-Jun-2023,,1800.0
S-199,Store 199, Tampa ,FL,South,09-Aug-2022,,4500.0
 S-200 ,Store 200,NASHVILLE,TN,South,2023-03-04,,6000.0
S00201,Store 201,Charlotte, NC ,south,12/22/2018,,3000.0
 00202 , Store 202 ,Memphis,TN,South,2017-02-19,,3000.0
S-203,store 203,Hartford,CT, Northeast ,2019/10/16,,1800.0
S-204,Store 204, Savannah ,GA,SOUTH,30-Aug-2018,,1200.0
s-205,Store 205,DALLAS,TX,SOUTH,18-Apr-2017,,3000.0
 S00206 ,Store 206, Tucson ,AZ,west,07/15/2018,,3000.0
00207, Store 207 ,Henderson,NV,West,04/28/2021,,3000.0
S00208,store 208,Columbus,OH,MIDWEST,2017-05-31,,4500.0
S00209,Store 209,augusta,ga, South ,2021-02-19,,4500.0
S-210,store 210, Memphis ,tn,South,10-Aug-2020,,2200.0
STORE-00211,store 211,Worcester, MA , Northeast ,05-Mar-2020,2022/02/13,2200.0
S-212,Store 212,Jersey City,NJ, Northeast ,2018/05/15,,3000.0
 00213 , Store 213 ,NEWARK, NJ ,northeast,02-Apr-2018,,1200.0
S-214,STORE 214, Grand Rapids ,MI,Midwest,2022/08/30,,1200.0
STORE-00215,store 215,Cincinnati,OH,midwest,07/11/2018,,4500.0
store-00216,STORE 216,ANN ARBOR,MI,Midwest,05-Jun-2019,,1200.0
STORE-00217,store 217,KNOXVILLE,TN,SOUTH,2022/08/29,,4500.0
00218,Store 218,New Haven,CT,NORTHEAST,2023-05-29,,4500.0
S-219,Store 219,tampa,FL,South,12/29/2021,,3000.0
S00220,STORE 220,Nashville,tn,SOUTH,2023/08/16,,1200.0
s-221,store 221,Boston, MA ,NORTHEAST,11-Aug-2021,,6000.0
STORE-00222, Store 222 ,WORCESTER,MA,Northeast,28-Jan-2023,,1200.0
 S-223 ,store 223,Tucson,AZ,West,10/23/2020,,1200.0
S00224,Store 224, Cincinnati ,OH,MIDWEST,2019/11/11,,6000.0
 S-225 ,STORE 225,Raleigh,NC,south region,2018-02-10,,6000.0
S00226,Store 226, Eugene ,OR,WEST,2022/12/27,,1800.0
STORE-00227,Store 227,pittsburgh,PA,Northeast,2023/06/03,,1200.0
S-228, Store 228 ,ann arbor,MI,MIDWEST,2018-04-06,,1200.0
S00229,Store 229,seattle,WA, West ,09/26/2021,,2200.0
 S00230 , Store 230 ,Durham,NC,South,2017/04/19,,1200.0
S-231,STORE 231,Miami,FL,South,2020-06-29,,6000.0
 S-232 ,STORE 232,NAPERVILLE, IL ,Midwest,08/16/2022,,3000.0
 STORE-00233 ,Store 233,phoenix,AZ,WEST,2016/09/16,,6000.0
STORE-00234,Store 234, Springfield ,MA,Northeast,2024-02-24,,1800.0
STORE-00235,Store 235, Phoenix ,AZ,west,11/02/2016,,3000.0
S-236, Store 236 ,san diego, CA ,West,2021/01/05,,4500.0
S-237,Store 237,Salem,OR,west,2016-08-10,,
 S00238 , Store 238 , Augusta ,GA, South ,11/08/2021,,3000.0
S00239,store 239,Detroit,MI,midwest,2020-08-24,,3000.0
 00240 ,Store 240,Las Vegas,NV,west,10/04/2023,,2200.0
STORE-00241,store 241,SEATTLE,WA,WEST,08/17/2020,,2200.0
STORE-00242,Store 242,Cincinnati,OH,Midwest,2022/01/31,,3000.0
 S00243 ,Store 243, Buffalo ,NY,Northeast,2017/08/18,,4500.0
00244,Store 244,SAN JOSE,CA,WEST,2023-07-29,,3000.0
00245,Store 245,Nashville,TN,South,2016/02/23,,4500.0
 S00246 , Store 246 ,cleveland,OH,Midwest,01/12/2021,,
S00247,Store 247,Seattle,WA,West,2017-09-21,,2200.0
 S-248 ,STORE 248,MINNEAPOLIS,MN,MIDWEST,31-Aug-2021,,
00249,Store 249,CHARLOTTE,NC,SOUTH,2023/03/15,,4500.0
STORE-00250, Store 250 ,knoxville,TN,South,2020-12-30,,1800.0
S-251,Store 251,Milwaukee, WI ,MIDWEST,2018-04-22,,1800.0
S-252,store 252, Hartford ,CT,Northeast,2018-11-25,,4500.0
STORE-00253,STORE 253,Allentown,PA, Northeast ,03/10/2017,,1800.0
STORE-00254, Store 254 ,Orlando, FL ,South Region,06-Aug-2023,,1200.0
 00255 ,STORE 255,Orlando, FL ,South,2023-03-30,,4500.0
00256,store 256,ALLENTOWN, PA , Northeast ,2016-10-02,,2200.0
00257,STORE 257,KNOXVILLE,tn,SOUTH REGION,06/06/2019,,6000.0
s-258,Store 258,tampa, FL , South ,2019/09/20,,1800.0
S00259,Store 259,Ann Arbor,MI,Midwest,01/10/2023,,4500.0
 STORE-00260 ,store 260, Spokane ,WA,WEST REGION,05/26/2020,,1800.0
00261,store 261,ROCHESTER,MN, Midwest ,2023/05/24,,6000.0
S00262,STORE 262,Raleigh,nc,South,2021/02/05,,4500.0
s00263,STORE 263,Eugene,or,West,30-Apr-2023,,
STORE-00264, Store 264 ,MILWAUKEE,WI,MIDWEST,2018/07/31,,3000.0
 S-265 , Store 265 ,Tacoma, WA , West ,10/22/2017,,2200.0
STORE-00266,STORE 266,Henderson,nv,WEST,24-Feb-2023,02/08/2027,4500.0
STORE-00267,Store 267, Rochester ,MN, Midwest ,23-Sep-2021,,4500.0
 S00268 ,Store 268,Henderson,nv,West Region,08-Jun-2016,,2200.0
s00269,STORE 269,Spokane,WA,West,10-Apr-2020,,1200.0
S-270,Store 270,STAMFORD,CT,Northeast,2017/04/27,,4500.0
00271,Store 271,memphis,TN,SOUTH,2023/08/19,,6000.0
 00272 ,store 272,Bolingbrook,IL,Midwest,2018-07-30,,
S00273,STORE 273,Jersey City,NJ,northeast,2022/09/24,,4500.0
 STORE-00274 ,Store 274,madison,WI,Midwest,2016/02/13,,1200.0
S-275,store 275,Pittsburgh, PA ,NORTHEAST,2019/12/17,,2200.0
s-276,Store 276,madison,WI,midwest,2022/06/12,2023/09/03,6000.0
S-277,Store 277,Reno,nv,WEST,09/23/2018,,1800.0
00278,STORE 278,Eugene,OR, West ,2022/01/03,2023/09/24,1800.0
00279, Store 279 ,Tampa,FL,SOUTH,08/30/2023,,2200.0
S-280,Store 280,new york, NY ,Northeast,31-Jul-2023,,4500.0
 00281 ,Store 281,tacoma,wa,WEST,02/21/2019,,1200.0
S-282,STORE 282,Eugene,OR,WEST,04-Feb-2016,2017/07/09,2200.0
STORE-00283,STORE 283, Spokane , WA ,WEST,2023-11-10,,1800.0
 S00284 ,store 284,Seattle,WA,West,04-Sep-2017,,4500.0
00285,store 285,Boston,ma,NORTHEAST,2023/09/29,,3000.0
00286,STORE 286,ROCHESTER,mn,midwest,2023-04-15,,2200.0
S-287, Store 287 , Cincinnati ,OH,MIDWEST,2019/10/13,,3000.0
s-288, Store 288 , Eugene ,OR,West,2022-08-01,,3000.0
 S00289 ,Store 289, Springfield ,MA,NORTHEAST,2016/08/08,28-Jan-2019,6000.0
STORE-00290,store 290,Chicago,IL, Midwest ,06/10/2023,,3000.0
store-00291,STORE 291, Henderson ,NV, West ,2023-03-04,,1800.0
S-292,Store 292,Las Vegas,NV,west,09/18/2023,,4500.0
S-293, Store 293 ,Cincinnati,oh,Midwest,2023/03/30,,6000.0
 STORE-00294 ,store 294,charlotte,NC,SOUTH,10/07/2016,,4500.0
S00295, Store 295 ,pittsburgh,PA,Northeast,2017/05/27,,1200.0
 S-296 ,Store 296,NAPERVILLE,IL,Midwest Region,05/26/2020,,3000.0
00297,Store 297,JERSEY CITY,NJ, Northeast ,2017-01-19,,6000.0
00298,STORE 298, Austin ,TX,South,2018-06-11,,4500.0
 00299 , Store 299 ,Las Vegas,NV,West,2020-03-01,,1800.0
STORE-00300,store 300, Jersey City ,NJ, Northeast ,2018-08-11,,3000.0
STORE-00301,STORE 301,Tacoma,WA, West ,02/03/2018,,2200.0
00302,Store 302,SAN JOSE,CA, West ,03-Sep-2021,,6000.0
 STORE-00303 ,store 303, St. Paul ,MN,Midwest,08/14/2019,,1800.0
 STORE-00304 ,STORE 304,Mesa, AZ ,West,2022-12-30,,6000.0
store-00305,Store 305,Eugene, OR ,west,2016-08-26,,4500.0
00306,Store 306,Rochester,MN,Midwest,15-Oct-2018,,1800.0
S-307,Store 307,Reno,NV,west,17-May-2023,,2200.0
s-308,STORE 308,Green Bay,WI,midwest,2018/11/06,,1800.0
 00309 ,store 309, Austin ,TX,SOUTH,2019/02/04,,1200.0
00310,Store 310,Bolingbrook,IL,Midwest,2019-08-22,,4500.0
S00311,STORE 311,Pittsburgh,PA,Northeast Region,13-Nov-2020,,4500.0
S00312,Store 312,Ann Arbor,MI, Midwest ,29-Oct-2023,,3000.0
S-313,STORE 313,dallas,TX,south,05/29/2022,,6000.0
STORE-00314,Store 314, Columbus ,oh, Midwest ,2018/12/26,,1200.0
 S-315 ,Store 315, Ann Arbor ,MI,Midwest,2020-12-16,,1800.0
S00316,store 316,DETROIT,MI,midwest,2019/11/07,,4500.0
S00317, Store 317 ,NAPERVILLE,IL,midwest,2022-07-15,,6000.0
S-318,STORE 318,Houston, TX ,South,2019-04-13,,4500.0
S-319, Store 319 ,NEW YORK,NY,NORTHEAST,2021/12/08,,6000.0
STORE-00320,Store 320, San Jose ,CA,West,02/21/2019,,4500.0
00321,Store 321,Memphis,TN,South,01/13/2021,,1800.0
 S00322 ,Store 322, Detroit , MI ,Midwest,01-Apr-2022,,6000.0
S00323,Store 323,MIAMI,FL,SOUTH,2017-03-13,,6000.0
 STORE-00324 ,STORE 324,rochester, MN ,midwest,2021-04-04,,3000.0
S-325,store 325,COLUMBUS,oh,midwest,2017-12-26,,3000.0
s00326,store 326,Henderson, NV ,west,31-May-2022,,1200.0
STORE-00327,STORE 327, Jersey City ,NJ,Northeast,12/05/2020,,6000.0
s-328,store 328, Paterson ,NJ,NORTHEAST,22-Oct-2023,,2200.0
 STORE-00329 ,Store 329,Chicago,IL, Midwest ,12-Apr-2017,,1800.0
s00330,STORE 330,Columbus,oh, Midwest ,01/02/2018,,1200.0
S00331,store 331,DALLAS,TX,south,2021-07-31,,4500.0
 STORE-00332 ,Store 332,Chicago,IL,Midwest,2017-08-30,,1800.0
00333,Store 333,KNOXVILLE, TN ,SOUTH,03-Oct-2023,,3000.0
STORE-00334,store 334,PITTSBURGH,PA,Northeast Region,2017-07-05,,6000.0
STORE-00335,Store 335,durham,NC,South,07/20/2019,,
00336,Store 336,springfield,MA,Northeast,2017-04-28,,6000.0
 S00337 ,STORE 337,PITTSBURGH,PA,Northeast,09/06/2021,,2200.0
00338,Store 338,phoenix,AZ,west,2023-03-29,,2200.0
STORE-00339,Store 339,KNOXVILLE,TN, South ,17-Mar-2016,,1800.0
STORE-00340,STORE 340, Tacoma ,wa,WEST,23-Apr-2017,,2200.0
00341,store 341, Miami ,fl, South ,12-Mar-2020,,4500.0
00342, Store 342 ,MIAMI,FL,SOUTH,2021-10-15,,4500.0
 STORE-00343 ,Store 343,Charlotte,NC,SOUTH,2017/02/26,,6000.0
S00344,STORE 344,CLEVELAND, OH ,MIDWEST,04/13/2017,01/07/2021,1200.0
S-345, Store 345 ,MEMPHIS, TN ,South,26-Jul-2016,,2200.0
S00346,Store 346,minneapolis,mn,Midwest,22-Mar-2021,,1800.0
STORE-00347,Store 347,savannah, GA ,SOUTH,21-Jan-2018,,2200.0
S00348,Store 348,Minneapolis,mn,midwest,07/19/2020,,3000.0
S-349,STORE 349,Tampa, FL ,South,17-Aug-2022,,4500.0
S00350,Store 350,Boston,MA,Northeast,2019-06-15,,1800.0
STORE-00351,Store 351, Paterson ,NJ,Northeast,2017/09/03,,3000.0
S-352,Store 352, Austin ,TX, South ,2016/02/03,,2200.0
STORE-00353,store 353,green bay,WI, Midwest ,14-Aug-2022,,2200.0
S00354, Store 354 ,Ann Arbor,MI, Midwest ,05/29/2017,,3000.0
S-355,STORE 355,las vegas, NV ,West,2021/02/04,,4500.0
S00356,Store 356, Rochester ,NY,Northeast,2021/06/02,,1200.0
S00357,store 357,Jersey City,NJ,northeast,2023-01-27,,4500.0
S00358,Store 358,RALEIGH,NC,South,04/21/2019,,6000.0
S00359,STORE 359, Pittsburgh ,PA, Northeast ,2016-12-03,,4500.0
00360,Store 360,Portland,OR, West ,12/06/2018,,3000.0
 STORE-00361 ,STORE 361,Green Bay, WI ,midwest,24-Feb-2023,,4500.0
 S-362 ,Store 362,tucson,AZ,West,2017-08-17,,4500.0
STORE-00363,STORE 363,Henderson,nv,WEST,01/21/2019,,6000.0
 S00364 , Store 364 , Ann Arbor ,mi,MIDWEST,02/13/2016,,4500.0
 S00365 ,Store 365,ROCHESTER,MN,Midwest,05/13/2017,,6000.0
STORE-00366,Store 366,Durham,NC,South,2016/11/06,,3000.0
S-367,STORE 367,PITTSBURGH,PA,northeast,29-Dec-2017,,6000.0
STORE-00368, Store 368 ,portland,OR, West Region ,22-May-2016,,6000.0
s-369,store 369,Las Vegas,NV,WEST REGION,12-Oct-2021,,3000.0
S00370,Store 370,AUGUSTA,GA,SOUTH,05/25/2019,,1200.0
store-00371,Store 371,ann arbor, MI , Midwest Region ,05/16/2020,,1200.0
 S00372 , Store 372 ,Durham, NC ,South,14-Jan-2021,,4500.0
